"";"estacion";"magnitud";"ano";"mes";"contInv"
"1";102;81;2021;1;0
"2";102;81;2021;2;3
"3";102;81;2021;3;0
"4";102;81;2021;4;1
"5";102;81;2021;5;0
"6";102;81;2021;6;1
"7";102;81;2021;7;0
"8";102;81;2021;8;0
"9";102;81;2021;9;1
"10";102;81;2021;10;0
"11";102;81;2021;11;1
"12";102;81;2021;12;0
"13";102;82;2021;1;0
"14";102;82;2021;2;3
"15";102;82;2021;3;0
"16";102;82;2021;4;1
"17";102;82;2021;5;0
"18";102;82;2021;6;1
"19";102;82;2021;7;0
"20";102;82;2021;8;0
"21";102;82;2021;9;1
"22";102;82;2021;10;0
"23";102;82;2021;11;1
"24";102;82;2021;12;0
"25";102;83;2021;1;0
"26";102;83;2021;2;3
"27";102;83;2021;3;0
"28";102;83;2021;4;1
"29";102;83;2021;5;0
"30";102;83;2021;6;1
"31";102;83;2021;7;0
"32";102;83;2021;8;0
"33";102;83;2021;9;1
"34";102;83;2021;10;0
"35";102;83;2021;11;1
"36";102;83;2021;12;0
"37";102;86;2021;1;0
"38";102;86;2021;2;3
"39";102;86;2021;3;0
"40";102;86;2021;4;1
"41";102;86;2021;5;0
"42";102;86;2021;6;1
"43";102;86;2021;7;0
"44";102;86;2021;8;0
"45";102;86;2021;9;1
"46";102;86;2021;10;0
"47";102;86;2021;11;1
"48";102;86;2021;12;0
"49";102;87;2021;1;0
"50";102;87;2021;2;7
"51";102;87;2021;3;4
"52";102;87;2021;4;1
"53";102;87;2021;5;0
"54";102;87;2021;6;1
"55";102;87;2021;7;0
"56";102;87;2021;8;0
"57";102;87;2021;9;1
"58";102;87;2021;10;0
"59";102;87;2021;11;1
"60";102;87;2021;12;0
"61";102;88;2021;1;0
"62";102;88;2021;2;3
"63";102;88;2021;3;0
"64";102;88;2021;4;1
"65";102;88;2021;5;0
"66";102;88;2021;6;1
"67";102;88;2021;7;0
"68";102;88;2021;8;0
"69";102;88;2021;9;1
"70";102;88;2021;10;0
"71";102;88;2021;11;1
"72";102;88;2021;12;0
"73";102;89;2021;1;0
"74";102;89;2021;2;3
"75";102;89;2021;3;0
"76";102;89;2021;4;1
"77";102;89;2021;5;0
"78";102;89;2021;6;2
"79";102;89;2021;7;0
"80";102;89;2021;8;0
"81";102;89;2021;9;1
"82";102;89;2021;10;0
"83";102;89;2021;11;1
"84";102;89;2021;12;0
"85";103;81;2021;1;0
"86";103;81;2021;2;3
"87";103;81;2021;3;0
"88";103;81;2021;4;1
"89";103;81;2021;5;0
"90";103;81;2021;6;1
"91";103;81;2021;7;0
"92";103;81;2021;8;0
"93";103;81;2021;9;1
"94";103;81;2021;10;0
"95";103;81;2021;11;1
"96";103;81;2021;12;0
"97";103;82;2021;1;0
"98";103;82;2021;2;3
"99";103;82;2021;3;0
"100";103;82;2021;4;1
"101";103;82;2021;5;0
"102";103;82;2021;6;1
"103";103;82;2021;7;0
"104";103;82;2021;8;0
"105";103;82;2021;9;1
"106";103;82;2021;10;0
"107";103;82;2021;11;1
"108";103;82;2021;12;0
"109";103;83;2021;1;0
"110";103;83;2021;2;3
"111";103;83;2021;3;0
"112";103;83;2021;4;1
"113";103;83;2021;5;0
"114";103;83;2021;6;1
"115";103;83;2021;7;0
"116";103;83;2021;8;0
"117";103;83;2021;9;1
"118";103;83;2021;10;0
"119";103;83;2021;11;1
"120";103;83;2021;12;0
"121";103;86;2021;1;0
"122";103;86;2021;2;3
"123";103;86;2021;3;0
"124";103;86;2021;4;1
"125";103;86;2021;5;0
"126";103;86;2021;6;1
"127";103;86;2021;7;0
"128";103;86;2021;8;0
"129";103;86;2021;9;1
"130";103;86;2021;10;0
"131";103;86;2021;11;1
"132";103;86;2021;12;0
"133";103;87;2021;1;0
"134";103;87;2021;2;3
"135";103;87;2021;3;0
"136";103;87;2021;4;1
"137";103;87;2021;5;0
"138";103;87;2021;6;1
"139";103;87;2021;7;0
"140";103;87;2021;8;0
"141";103;87;2021;9;1
"142";103;87;2021;10;0
"143";103;87;2021;11;1
"144";103;87;2021;12;0
"145";103;88;2021;1;0
"146";103;88;2021;2;3
"147";103;88;2021;3;0
"148";103;88;2021;4;1
"149";103;88;2021;5;0
"150";103;88;2021;6;1
"151";103;88;2021;7;0
"152";103;88;2021;8;0
"153";103;88;2021;9;1
"154";103;88;2021;10;0
"155";103;88;2021;11;1
"156";103;88;2021;12;0
"157";103;89;2021;1;0
"158";103;89;2021;2;3
"159";103;89;2021;3;0
"160";103;89;2021;4;2
"161";103;89;2021;5;2
"162";103;89;2021;6;1
"163";103;89;2021;7;0
"164";103;89;2021;8;0
"165";103;89;2021;9;1
"166";103;89;2021;10;3
"167";103;89;2021;11;2
"168";103;89;2021;12;0
"169";104;81;2021;1;0
"170";104;81;2021;2;3
"171";104;81;2021;3;0
"172";104;81;2021;4;1
"173";104;81;2021;5;0
"174";104;81;2021;6;1
"175";104;81;2021;7;0
"176";104;81;2021;8;0
"177";104;81;2021;9;1
"178";104;81;2021;10;0
"179";104;81;2021;11;1
"180";104;81;2021;12;0
"181";104;82;2021;1;0
"182";104;82;2021;2;3
"183";104;82;2021;3;0
"184";104;82;2021;4;1
"185";104;82;2021;5;0
"186";104;82;2021;6;1
"187";104;82;2021;7;0
"188";104;82;2021;8;0
"189";104;82;2021;9;1
"190";104;82;2021;10;0
"191";104;82;2021;11;1
"192";104;82;2021;12;0
"193";106;81;2021;1;0
"194";106;81;2021;2;3
"195";106;81;2021;3;0
"196";106;81;2021;4;1
"197";106;81;2021;5;0
"198";106;81;2021;6;1
"199";106;81;2021;7;2
"200";106;81;2021;8;2
"201";106;81;2021;9;1
"202";106;81;2021;10;2
"203";106;81;2021;11;1
"204";106;81;2021;12;0
"205";106;82;2021;1;0
"206";106;82;2021;2;3
"207";106;82;2021;3;0
"208";106;82;2021;4;1
"209";106;82;2021;5;0
"210";106;82;2021;6;1
"211";106;82;2021;7;2
"212";106;82;2021;8;2
"213";106;82;2021;9;1
"214";106;82;2021;10;2
"215";106;82;2021;11;1
"216";106;82;2021;12;0
"217";106;83;2021;1;0
"218";106;83;2021;2;3
"219";106;83;2021;3;0
"220";106;83;2021;4;1
"221";106;83;2021;5;0
"222";106;83;2021;6;1
"223";106;83;2021;7;2
"224";106;83;2021;8;2
"225";106;83;2021;9;1
"226";106;83;2021;10;2
"227";106;83;2021;11;1
"228";106;83;2021;12;0
"229";106;86;2021;1;0
"230";106;86;2021;2;3
"231";106;86;2021;3;0
"232";106;86;2021;4;1
"233";106;86;2021;5;0
"234";106;86;2021;6;1
"235";106;86;2021;7;2
"236";106;86;2021;8;2
"237";106;86;2021;9;1
"238";106;86;2021;10;2
"239";106;86;2021;11;1
"240";106;86;2021;12;0
"241";106;87;2021;1;0
"242";106;87;2021;2;3
"243";106;87;2021;3;0
"244";106;87;2021;4;1
"245";106;87;2021;5;0
"246";106;87;2021;6;1
"247";106;87;2021;7;2
"248";106;87;2021;8;4
"249";106;87;2021;9;7
"250";106;87;2021;10;6
"251";106;87;2021;11;1
"252";106;87;2021;12;0
"253";106;88;2021;1;0
"254";106;88;2021;2;3
"255";106;88;2021;3;0
"256";106;88;2021;4;1
"257";106;88;2021;5;0
"258";106;88;2021;6;1
"259";106;88;2021;7;2
"260";106;88;2021;8;2
"261";106;88;2021;9;1
"262";106;88;2021;10;2
"263";106;88;2021;11;1
"264";106;88;2021;12;0
"265";106;89;2021;1;0
"266";106;89;2021;2;3
"267";106;89;2021;3;0
"268";106;89;2021;4;1
"269";106;89;2021;5;0
"270";106;89;2021;6;1
"271";106;89;2021;7;2
"272";106;89;2021;8;2
"273";106;89;2021;9;1
"274";106;89;2021;10;2
"275";106;89;2021;11;1
"276";106;89;2021;12;0
"277";107;81;2021;1;0
"278";107;81;2021;2;3
"279";107;81;2021;3;0
"280";107;81;2021;4;1
"281";107;81;2021;5;0
"282";107;81;2021;6;6
"283";107;81;2021;7;0
"284";107;81;2021;8;0
"285";107;81;2021;9;1
"286";107;81;2021;10;0
"287";107;81;2021;11;1
"288";107;81;2021;12;0
"289";107;82;2021;1;0
"290";107;82;2021;2;3
"291";107;82;2021;3;0
"292";107;82;2021;4;1
"293";107;82;2021;5;0
"294";107;82;2021;6;6
"295";107;82;2021;7;0
"296";107;82;2021;8;0
"297";107;82;2021;9;1
"298";107;82;2021;10;0
"299";107;82;2021;11;1
"300";107;82;2021;12;0
"301";107;83;2021;1;0
"302";107;83;2021;2;3
"303";107;83;2021;3;0
"304";107;83;2021;4;1
"305";107;83;2021;5;0
"306";107;83;2021;6;6
"307";107;83;2021;7;0
"308";107;83;2021;8;0
"309";107;83;2021;9;1
"310";107;83;2021;10;0
"311";107;83;2021;11;1
"312";107;83;2021;12;0
"313";107;86;2021;1;0
"314";107;86;2021;2;3
"315";107;86;2021;3;0
"316";107;86;2021;4;1
"317";107;86;2021;5;15
"318";107;86;2021;6;6
"319";107;86;2021;7;0
"320";107;86;2021;8;0
"321";107;86;2021;9;1
"322";107;86;2021;10;0
"323";107;86;2021;11;1
"324";107;86;2021;12;0
"325";107;87;2021;1;0
"326";107;87;2021;2;3
"327";107;87;2021;3;0
"328";107;87;2021;4;1
"329";107;87;2021;5;0
"330";107;87;2021;6;6
"331";107;87;2021;7;0
"332";107;87;2021;8;0
"333";107;87;2021;9;1
"334";107;87;2021;10;0
"335";107;87;2021;11;1
"336";107;87;2021;12;0
"337";107;88;2021;1;0
"338";107;88;2021;2;3
"339";107;88;2021;3;0
"340";107;88;2021;4;1
"341";107;88;2021;5;0
"342";107;88;2021;6;6
"343";107;88;2021;7;0
"344";107;88;2021;8;0
"345";107;88;2021;9;1
"346";107;88;2021;10;0
"347";107;88;2021;11;1
"348";107;88;2021;12;0
"349";107;89;2021;1;0
"350";107;89;2021;2;3
"351";107;89;2021;3;0
"352";107;89;2021;4;1
"353";107;89;2021;5;0
"354";107;89;2021;6;6
"355";107;89;2021;7;0
"356";107;89;2021;8;0
"357";107;89;2021;9;1
"358";107;89;2021;10;0
"359";107;89;2021;11;1
"360";107;89;2021;12;0
"361";108;81;2021;1;0
"362";108;81;2021;2;6
"363";108;81;2021;3;0
"364";108;81;2021;4;1
"365";108;81;2021;5;5
"366";108;81;2021;9;30
"367";108;81;2021;10;0
"368";108;81;2021;11;1
"369";108;81;2021;12;2
"370";108;82;2021;1;0
"371";108;82;2021;2;6
"372";108;82;2021;3;0
"373";108;82;2021;4;1
"374";108;82;2021;5;5
"375";108;82;2021;9;30
"376";108;82;2021;10;0
"377";108;82;2021;11;1
"378";108;82;2021;12;2
"379";108;83;2021;1;0
"380";108;83;2021;2;6
"381";108;83;2021;3;0
"382";108;83;2021;4;1
"383";108;83;2021;5;6
"384";108;83;2021;9;30
"385";108;83;2021;10;0
"386";108;83;2021;11;1
"387";108;83;2021;12;2
"388";108;86;2021;1;0
"389";108;86;2021;2;6
"390";108;86;2021;3;0
"391";108;86;2021;4;1
"392";108;86;2021;5;6
"393";108;86;2021;9;30
"394";108;86;2021;10;0
"395";108;86;2021;11;1
"396";108;86;2021;12;2
"397";108;87;2021;1;0
"398";108;87;2021;2;6
"399";108;87;2021;3;0
"400";108;87;2021;4;1
"401";108;87;2021;5;5
"402";108;87;2021;9;30
"403";108;87;2021;10;0
"404";108;87;2021;11;1
"405";108;87;2021;12;2
"406";108;88;2021;1;0
"407";108;88;2021;2;6
"408";108;88;2021;3;0
"409";108;88;2021;4;1
"410";108;88;2021;5;5
"411";108;88;2021;9;30
"412";108;88;2021;10;0
"413";108;88;2021;11;1
"414";108;88;2021;12;2
"415";108;89;2021;1;0
"416";108;89;2021;2;6
"417";108;89;2021;3;0
"418";108;89;2021;4;1
"419";108;89;2021;5;5
"420";108;89;2021;9;30
"421";108;89;2021;10;0
"422";108;89;2021;11;1
"423";108;89;2021;12;2
"424";109;83;2021;1;0
"425";109;83;2021;2;3
"426";109;83;2021;3;0
"427";109;83;2021;4;1
"428";109;83;2021;5;0
"429";109;83;2021;6;1
"430";109;83;2021;7;0
"431";109;83;2021;8;0
"432";109;83;2021;9;22
"433";109;83;2021;10;0
"434";109;83;2021;11;1
"435";109;83;2021;12;0
"436";109;86;2021;1;0
"437";109;86;2021;2;3
"438";109;86;2021;3;0
"439";109;86;2021;4;1
"440";109;86;2021;5;0
"441";109;86;2021;6;1
"442";109;86;2021;7;0
"443";109;86;2021;8;0
"444";109;86;2021;9;22
"445";109;86;2021;10;0
"446";109;86;2021;11;1
"447";109;86;2021;12;0
"448";110;83;2021;1;6
"449";110;83;2021;2;5
"450";110;83;2021;3;13
"451";110;83;2021;4;2
"452";110;83;2021;5;0
"453";110;83;2021;6;1
"454";110;83;2021;7;0
"455";110;83;2021;8;1
"456";110;83;2021;9;1
"457";110;83;2021;10;0
"458";110;83;2021;11;1
"459";110;83;2021;12;0
"460";110;86;2021;1;6
"461";110;86;2021;2;5
"462";110;86;2021;3;13
"463";110;86;2021;4;2
"464";110;86;2021;5;0
"465";110;86;2021;6;1
"466";110;86;2021;7;0
"467";110;86;2021;8;1
"468";110;86;2021;9;1
"469";110;86;2021;10;0
"470";110;86;2021;11;1
"471";110;86;2021;12;0
"472";111;83;2021;1;0
"473";111;83;2021;2;3
"474";111;83;2021;3;0
"475";111;83;2021;4;1
"476";111;83;2021;5;0
"477";111;83;2021;6;21
"478";111;86;2021;1;0
"479";111;86;2021;2;3
"480";111;86;2021;3;0
"481";111;86;2021;4;1
"482";111;86;2021;5;0
"483";111;86;2021;6;21
"484";112;83;2021;1;0
"485";112;83;2021;2;3
"486";112;83;2021;3;0
"487";112;83;2021;4;1
"488";112;83;2021;5;0
"489";112;83;2021;6;1
"490";112;83;2021;7;0
"491";112;83;2021;8;0
"492";112;83;2021;9;1
"493";112;83;2021;10;0
"494";112;83;2021;11;1
"495";112;83;2021;12;1
"496";112;86;2021;1;0
"497";112;86;2021;2;3
"498";112;86;2021;3;0
"499";112;86;2021;4;1
"500";112;86;2021;5;0
"501";112;86;2021;6;1
"502";112;86;2021;7;0
"503";112;86;2021;8;0
"504";112;86;2021;9;1
"505";112;86;2021;10;0
"506";112;86;2021;11;1
"507";112;86;2021;12;1
"508";113;83;2021;1;9
"509";113;83;2021;2;9
"510";113;83;2021;3;0
"511";113;83;2021;4;1
"512";113;83;2021;5;0
"513";113;83;2021;6;1
"514";113;83;2021;7;0
"515";113;83;2021;8;0
"516";113;83;2021;9;6
